Date,GOOGL_volatility,Days_from_cut,Cut_date
2020-08-03,0.017013021143898258,-29,2020-09-01
2020-08-04,0.01701713083608488,-28,2020-09-01
2020-08-05,0.01689578630145772,-27,2020-09-01
2020-08-06,0.01573067382971456,-26,2020-09-01
2020-08-07,0.015691557141498776,-25,2020-09-01
2020-08-10,0.014832168696020791,-22,2020-09-01
2020-08-11,0.01427936016941263,-21,2020-09-01
2020-08-12,0.014898205669123461,-20,2020-09-01
2020-08-13,0.014656753917535964,-19,2020-09-01
2020-08-14,0.01014352356618762,-18,2020-09-01
2020-08-17,0.010191591282140271,-15,2020-09-01
2020-08-18,0.012113719436666861,-14,2020-09-01
2020-08-19,0.012768296191628932,-13,2020-09-01
2020-08-20,0.013139327187195024,-12,2020-09-01
2020-08-21,0.012893230899549676,-11,2020-09-01
2020-08-24,0.012711470082419912,-8,2020-09-01
2020-08-25,0.011403983355533633,-7,2020-09-01
2020-08-26,0.012086417936216112,-6,2020-09-01
2020-08-27,0.013408081220466168,-5,2020-09-01
2020-08-28,0.012326194019977874,-4,2020-09-01
2020-08-31,0.013183919090504996,-1,2020-09-01
2020-09-01,0.011885261685169941,0,2020-09-01
2020-09-02,0.014430237721842725,1,2020-09-01
2020-09-03,0.023805673337205006,2,2020-09-01
2020-09-04,0.026040571737984904,3,2020-09-01
2020-09-08,0.028420146572723032,7,2020-09-01
2020-09-09,0.028589663534040563,8,2020-09-01
2020-09-10,0.027047140515146024,9,2020-09-01
2020-09-11,0.02703399228610175,10,2020-09-01
2020-09-14,0.026639883245313425,13,2020-09-01
2020-09-15,0.02783294621579711,14,2020-09-01
2020-09-16,0.02690223655424333,15,2020-09-01
2020-09-17,0.0214398472505312,16,2020-09-01
2020-09-18,0.017609308223766225,17,2020-09-01
2020-09-21,0.01647839326441729,20,2020-09-01
2020-09-22,0.01615469377441008,21,2020-09-01
2020-09-23,0.017112753875662818,22,2020-09-01
2020-09-24,0.01798515307768811,23,2020-09-01
2020-09-25,0.01888606068587227,24,2020-09-01
2020-09-28,0.019788390314507322,27,2020-09-01
2020-09-29,0.01871298830400896,28,2020-09-01
2020-09-30,0.018365199496744325,29,2020-09-01
2020-10-01,0.018499380581937605,30,2020-09-01
2021-01-04,0.011853044036923858,-28,2021-02-01
2021-01-05,0.011834655929162012,-27,2021-02-01
2021-01-06,0.01219411243689877,-26,2021-02-01
2021-01-07,0.015140270708607186,-25,2021-02-01
2021-01-08,0.015471319996366374,-24,2021-02-01
2021-01-11,0.01770617164794895,-21,2021-02-01
2021-01-12,0.016301420138002547,-20,2021-02-01
2021-01-13,0.01624896692786736,-19,2021-02-01
2021-01-14,0.01604094284683275,-18,2021-02-01
2021-01-15,0.015681196136900312,-17,2021-02-01
