Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-07-20,252.54928665940605,259.68647096508647,251.29666036199023,259.0552978515625,40610100,0.0,0.0,0.0
2020-07-21,260.6283642310917,260.63808415993117,255.5109698667727,256.35577392578125,43243800,0.0,0.0,0.0
2020-07-22,256.85108888109255,258.1911355474765,254.94781959327352,257.2589111328125,29865500,0.0,0.0,0.0
2020-07-23,256.85105162422485,257.55989531308836,249.1215142186639,250.5392608642578,51363500,0.0,0.0,0.0
2020-07-24,246.68424014558408,249.49055931696608,244.04301164631514,248.1602325439453,54054500,0.0,0.0,0.0
2020-07-27,249.81099141634002,252.9765772712625,249.0244475094908,252.58816528320312,36445700,0.0,0.0,0.0
2020-07-28,251.80157391253667,252.3259462962386,249.0826608746924,249.37396240234375,31302400,0.0,0.0,0.0
2020-07-29,250.91793405612992,253.11250446917904,250.44213165589338,252.24826049804688,27556900,0.0,0.0,0.0
2020-07-30,250.2769926726457,254.13204041095273,249.1214473805184,253.56884765625,41774500,0.0,0.0,0.0
2020-07-31,258.21045370726983,258.24930378584594,253.29697077180876,258.09393310546875,53686300,0.0,0.0,0.0
2020-08-03,260.2400314306805,262.3277720246987,260.11379085310864,261.580078125,32081600,0.0,0.0,0.0
2020-08-04,261.07510977382634,262.6482273572399,260.3274158914282,262.5511169433594,24911300,0.0,0.0,0.0
2020-08-05,263.0366296468822,263.6580829316367,262.1432553597479,263.2016906738281,21612100,0.0,0.0,0.0
2020-08-06,263.00750634014815,267.017926354634,262.366613176275,266.6877746582031,28048200,0.0,0.0,0.0
2020-08-07,266.1439710501528,266.9208247443777,261.45383725914445,263.60955810546875,44969400,0.0,0.0,0.0
2020-08-10,263.9008409236171,264.1047816729161,258.94853603261936,262.4831237792969,35088400,0.0,0.0,0.0
2020-08-11,261.31786222802555,262.60936845805514,256.96760031787136,257.5113830566406,43104300,0.0,0.0,0.0
2020-08-12,259.6767786267385,264.93982414184796,259.62820861289146,263.9881896972656,38773400,0.0,0.0,0.0
