Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-07-20,299.28924945454287,302.73439739234595,298.5350461539938,301.9801940917969,56308800,0.0,0.0,0.0
2020-07-21,303.9634929033391,304.4104113727864,301.62637755014066,302.6226806640625,57292200,0.0,0.0,0.0
2020-07-22,302.2595802404093,304.6618810669734,302.147850604843,304.34527587890625,57792900,0.0,0.0,0.0
2020-07-23,303.98216222268036,304.68982115306045,299.3358914619867,300.71392822265625,75738000,0.0,0.0,0.0
2020-07-24,298.8423762511538,299.8107186506547,297.25946405834327,298.7771911621094,73766600,0.0,0.0,0.0
2020-07-27,299.47561038441495,301.13299997127166,298.6748337981477,300.9560852050781,48293000,0.0,0.0,0.0
2020-07-28,300.22043080634853,301.34710427397874,298.749276570797,299.0472412109375,57495000,0.0,0.0,0.0
2020-07-29,299.93186443368876,303.2932167454961,299.89461174011615,302.7252197265625,48454200,0.0,0.0,0.0
2020-07-30,299.72694879233813,302.06406461325884,297.622640941469,301.6450500488281,61861700,0.0,0.0,0.0
2020-07-31,303.4513978199224,304.13112429544833,299.19618107689314,304.0286865234375,84986800,0.0,0.0,0.0
2020-08-03,305.70470733228075,306.9151495195356,305.15535105249774,306.142333984375,53077900,0.0,0.0,0.0
2020-08-04,305.27632765927575,307.3247985839844,305.27632765927575,307.3247985839844,41917900,0.0,0.0,0.0
2020-08-05,308.6377112650993,309.49435240192435,308.36767906543605,309.2336120605469,42697700,0.0,0.0,0.0
2020-08-06,308.6470259484085,311.42173959200727,308.32112894305834,311.3006896972656,43679400,0.0,0.0,0.0
2020-08-07,310.3231108919055,311.81290587902623,309.4106047136185,311.5242614746094,57308300,0.0,0.0,0.0
2020-08-10,311.9803819770482,312.6414677735315,310.0250285743659,312.45526123046875,44282100,0.0,0.0,0.0
2020-08-11,313.6471440639934,314.28961783933227,309.14053577795084,309.8760986328125,69601100,0.0,0.0,0.0
2020-08-12,312.334327107098,314.9786996885602,312.3063946945129,314.1965637207031,53774400,0.0,0.0,0.0
2020-08-13,313.4236623947657,314.9507097785725,312.69739138466673,313.6285095214844,41816100,0.0,0.0,0.0
2020-08-14,313.23747389816054,314.1779123635833,312.5018825712812,313.6378479003906,47260400,0.0,0.0,0.0
2020-08-17,314.6621487234734,315.0345903936953,313.6472330955408,314.63421630859375,35481000,0.0,0.0,0.0
2020-08-18,315.03455127900327,315.7422102553964,313.4237064463358,315.31390380859375,38733900,0.0,0.0,0.0
2020-08-19,315.69558995985096,316.217013838339,313.43297972832573,314.0009765625,68054200,0.0,0.0,0.0
2020-08-20,312.25979052591396,315.46283945447374,312.1294487520339,314.9786682128906,42207800,0.0,0.0,0.0
2020-08-21,314.64349659825893,316.31949810899806,314.2989589712251,316.0960388183594,55106600,0.0,0.0,0.0
2020-08-24,318.55416064090014,319.373549220361,316.0680909080304,319.299072265625,48588700,0.0,0.0,0.0
2020-08-25,319.86702552254167,320.50017906183126,318.6938075290856,320.4163818359375,38463400,0.0,0.0,0.0
2020-08-26,321.0123441121552,323.89878801905945,320.46298774227745,323.6287841796875,50790200,0.0,0.0,0.0
2020-08-27,324.50401813809793,325.7982576806448,322.6603938431942,324.3363952636719,58034100,0.0,0.0,0.0
2020-08-28,325.3699365435357,326.5617666679802,324.1687861444132,326.431396484375,48588900,0.0,0.0,0.0
2020-08-31,326.21727226699716,327.10181752185133,325.016121813467,325.2489013671875,66099200,0.0,0.0,0.0
2020-09-01,326.0869305273795,328.41472626767614,325.1837446435254,328.31231689453125,54908700,0.0,0.0,0.0
2020-09-02,330.23965699990765,334.0386062067138,329.08505127544817,333.0609436035156,69540000,0.0,0.0,0.0
2020-09-03,331.3569759319599,331.83185523044534,318.9917293636481,321.598876953125,148011100,0.0,0.0,0.0
2020-09-04,322.2879536346721,323.87083755742174,311.8035533975463,318.9731750488281,139156300,0.0,0.0,0.0
2020-09-08,313.5168487650944,319.0384021251585,309.9506780204714,310.2579345703125,114465300,0.0,0.0,0.0
2020-09-09,314.2989195800577,318.8707130978866,313.4236662474527,316.3846435546875,91462300,0.0,0.0,0.0
2020-09-10,318.2747498593204,318.93583565864554,309.92262057026693,310.8909912109375,90569500,0.0,0.0,0.0
2020-09-11,312.6881240661922,313.7589043244753,308.20012747479143,311.0493469238281,84680200,0.0,0.0,0.0
2020-09-14,314.24302406459896,316.93396888961524,311.19827824680254,315.1462097167969,65605700,0.0,0.0,0.0
2020-09-15,317.623009522902,318.46101015038033,315.15555218042186,316.73846435546875,52920900,0.0,0.0,0.0
2020-09-16,317.9861860651773,319.42940791121333,315.202123320364,315.4814758300781,82096000,0.0,0.0,0.0
2020-09-17,310.5837474506331,314.4385899779849,310.05300332026394,312.7066955566406,91523300,0.0,0.0,0.0
2020-09-18,313.51916179087743,313.63133869730126,306.601310112248,309.106689453125,105877900,1.339,0.0,0.0
2020-09-21,304.47922972227383,305.81605211131813,300.76789147120917,305.6664733886719,99450800,0.0,0.0,0.0
2020-09-22,307.1621243318381,309.3403013085807,304.62867305037145,308.7793884277344,63612100,0.0,0.0,0.0
2020-09-23,309.3403650925504,309.62083585541194,301.11373624124093,301.6185607910156,93112200,0.0,0.0,0.0
2020-09-24,300.29100868915145,305.50743291519547,298.96351580905053,302.4224548339844,76681300,0.0,0.0,0.0
2020-09-25,301.56244500284976,308.10636341964545,300.6837164909055,307.311767578125,71069400,0.0,0.0,0.0
2020-09-28,311.5092447903184,313.13586696745983,310.5089531743697,312.4160461425781,64584600,0.0,0.0,0.0
2020-09-29,312.2103274764333,312.9581924041424,310.0134350236128,310.7145690917969,51304000,0.0,0.0,0.0
2020-09-30,311.3876651380587,316.24887285260775,311.1913555832398,313.0704040527344,104081100,0.0,0.0,0.0
2020-10-01,315.68796610962784,316.6695424323079,313.1825871203494,315.080322265625,88698700,0.0,0.0,0.0
2020-10-02,310.0881910514769,315.0522172101626,309.6114108289228,312.0887451171875,89431100,0.0,0.0,0.0
2020-10-05,314.1641078683681,317.80999881665764,314.11737701525726,317.623046875,45713100,0.0,0.0,0.0
2020-10-06,317.7632668791493,319.87602637009286,312.5935735514593,313.10772705078125,90128900,0.0,0.0,0.0
2020-10-07,316.089886572941,319.3712026876588,316.0618423552603,318.5578918457031,56999600,0.0,0.0,0.0
2020-10-08,320.5117651377044,321.4466105786607,319.5862487512889,321.38116455078125,45242500,0.0,0.0,0.0
2020-10-09,323.045170609396,324.7185518452797,322.41884017460626,324.2511291503906,59528600,0.0,0.0,0.0
2020-10-12,326.8126022831071,330.95396058750157,326.3171353587576,329.4675598144531,80388500,0.0,0.0,0.0
2020-10-13,329.32726375590346,329.504886625076,326.3451053051163,327.3173522949219,73255500,0.0,0.0,0.0
2020-10-14,327.8970437383837,329.0001545296071,324.5222653357715,325.2607727050781,57727900,0.0,0.0,0.0
2020-10-15,321.3156625387775,325.34484340494106,320.77346483034836,324.8587341308594,60357700,0.0,0.0,0.0
2020-10-16,326.22368213340775,327.8970635893729,324.4848831737596,324.6625061035156,89501900,0.0,0.0,0.0
2020-10-19,325.93382930721646,326.5695173054903,318.81966980620405,319.7264709472656,68425600,0.0,0.0,0.0
2020-10-20,321.08194669919857,324.2791300580585,320.31539526417123,321.0071716308594,60051900,0.0,0.0,0.0
2020-10-21,320.9604510537785,323.1480143438587,320.0910516993104,320.3995666503906,63575000,0.0,0.0,0.0
2020-10-22,320.6145543301672,322.746000594194,318.4550638467144,322.15704345703125,55399300,0.0,0.0,0.0
2020-10-23,323.3910756020792,323.4471640460359,320.773519786705,323.2508544921875,49143900,0.0,0.0,0.0
2020-10-26,319.8385968779384,320.63322101381107,313.7527454197702,317.2771301269531,91473000,0.0,0.0,0.0
2020-10-27,317.6230192279755,317.9595498111951,315.9683249395101,316.183349609375,65994100,0.0,0.0,0.0
2020-10-28,310.462209976306,316.2115043495442,304.8811809534911,305.37664794921875,127094300,0.0,0.0,0.0
2020-10-29,305.6103337435858,311.67747166931895,303.90890815385325,308.4803161621094,90597700,0.0,0.0,0.0
2020-10-30,306.891026053718,308.20916140224153,301.5811113871835,305.264404296875,120287300,0.0,0.0,0.0
2020-11-02,308.6859130859375,310.70515372104285,305.91875060379033,308.6859130859375,86068300,0.0,0.0,0.0
2020-11-03,311.94863412798435,316.21152783059097,308.7701647573354,314.13616943359375,93294200,0.0,0.0,0.0
2020-11-04,318.65133138281345,325.27005158713695,317.464088211308,321.15673828125,126959700,0.0,0.0,0.0
2020-11-05,326.48541212895293,329.24321758688944,326.1301662973035,327.4202575683594,82039700,0.0,0.0,0.0
2020-11-06,327.1304342782304,328.60750594280904,324.99898797057915,327.345458984375,74973000,0.0,0.0,0.0
2020-11-09,340.255700398766,340.6389904576973,330.9913785434033,331.45880126953125,172304200,0.0,0.0,0.0
2020-11-10,330.45844371895174,332.03833449972905,327.6726230869076,330.9726257324219,85552000,0.0,0.0,0.0
2020-11-11,333.1789089218614,334.2633330551548,331.9262194564756,333.43133544921875,58649000,0.0,0.0,0.0
2020-11-12,332.41229521149756,333.47803259878674,328.3737850034322,330.19671630859375,67546200,0.0,0.0,0.0
2020-11-13,332.12243855672193,335.51593114245816,331.598927535534,334.76806640625,62892200,0.0,0.0,0.0
2020-11-16,337.46046828584866,339.1431784222475,336.16101961858254,338.9468688964844,74541100,0.0,0.0,0.0
2020-11-17,336.5163490268394,338.3393092353085,334.9925462371628,337.1239929199219,66111000,0.0,0.0,0.0
2020-11-18,337.39501919323385,337.9465744943524,333.02927910818414,333.0666809082031,70591300,0.0,0.0,0.0
2020-11-19,332.4310076348359,334.842896052107,331.07547048412533,334.4689636230469,59940900,0.0,0.0,0.0
2020-11-20,334.20718514516267,334.4128522464206,332.10378328061273,332.1785583496094,70417300,0.0,0.0,0.0
2020-11-23,334.0015344942473,335.4412042739595,331.7485538515259,334.1697998046875,63230600,0.0,0.0,0.0
2020-11-24,336.7407017610171,340.1061513887323,335.8806598462364,339.5545959472656,62415900,0.0,0.0,0.0
2020-11-25,339.47038429923896,339.49842851756154,337.92789523306635,339.031005859375,45330900,0.0,0.0,0.0
2020-11-27,340.13421905463923,340.4520631345476,338.9563044714551,339.9753112792969,28514100,0.0,0.0,0.0
2020-11-30,339.18991339612273,339.4610265258987,335.7684046458298,338.4700927734375,83872700,0.0,0.0,0.0
2020-12-01,341.75145580835846,343.7239660011634,341.1531410301764,342.172119140625,74231400,0.0,0.0,0.0
2020-12-02,341.05029075724553,343.0508449905468,340.4706911992724,342.8919372558594,45927000,0.0,0.0,0.0
2020-12-03,342.7891043307155,344.2007300136769,341.68599360603105,342.7984619140625,62882000,0.0,0.0,0.0
2020-12-04,343.3873755387079,345.7525329589844,343.2938853047448,345.7525329589844,50749900,0.0,0.0,0.0
2020-12-07,344.97660720372124,345.5375200974796,343.76131970825713,345.04205322265625,48944300,0.0,0.0,0.0
2020-12-08,343.7613143838118,346.6219387155356,343.7145835305619,346.05169677734375,42458900,0.0,0.0,0.0
2020-12-09,346.71536169353715,346.8742693871325,342.1065821119308,342.94793701171875,74098300,0.0,0.0,0.0
